source,original_id,image_ref,description,tech_id,has_image,Anmerkung
coinarchives,manual_202,https://www.acsearch.info/search.html?term=Stradonice&category=0&lot=&date_from=&date_to=&images=1&en=1&de=1&fr=1&it=1&es=1&ot=1&currency=usd&order=1,"Boier Obol Stradonice Typ, 0.41g, ausgeschlagen/gebrochen, Kostur-Gášpár 148.4, Macho E-Live 36/2011",boier_early_stradonice,True,
coinarchives,manual_204,https://www.acsearch.info/search.html?term=Stradonice&category=0&lot=&date_from=&date_to=&images=1&en=1&de=1&fr=1&it=1&es=1&ot=1&currency=usd&order=1,"Boier Obol Stradonice Typ, Lot von 2 Stk, olámaný, Macho E-Live 34/1002",boier_early_stradonice,True,
coinarchives,manual_205,https://www.acsearch.info/search.html?term=Stradonice&category=0&lot=&date_from=&date_to=&images=1&en=1&de=1&fr=1&it=1&es=1&ot=1&currency=usd&order=1,"Boier Obol Stradonice Typ, 0.38g, olámaný, Macho E-Live 34/1003",boier_early_stradonice,True,
coinarchives,manual_206,https://media.acsearch.info/archive/65/13074/13516616.m.jpg,"Boier Obol Stradonice Typ, Lot von 2 Stk, olámaný, Macho E-Live 34/1004",boier_early_stradonice,True,
coinarchives,manual_207,https://media.acsearch.info/archive/65/12232/12628809.m.jpg,"Boier Obol Stradonice Typ, 0.47g, leichte Korrosion, Macho E-Live 33/454",boier_early_stradonice,True,
coinarchives,manual_208,https://media.acsearch.info/archive/65/12232/12628810.m.jpg,"Boier Obol Stradonice Typ, 0.48g, Kostur-Gášpár 148 var, Macho E-Live 33/455",boier_early_stradonice,True,
coinarchives,manual_209,https://media.acsearch.info/archive/65/12232/12628811.m.jpg,"Boier Obol Stradonice Typ, 0.36g, sehr leicht, Macho E-Live 33/456",boier_early_stradonice,True,
coinarchives,manual_210,https://media.acsearch.info/archive/65/12232/12628812.m.jpg,"Boier Obol Stradonice Typ, 0.4g, Kostur-Gášpár 148 var, Macho E-Live 33/457",boier_early_stradonice,True,
coinarchives,manual_211,https://media.acsearch.info/archive/354/11890/12260418.m.jpg,"Boier Obol Stradonice Typ B, 0.408g, K-G 148.18, Pesek 1/418",boier_early_stradonice,True,
coinarchives,manual_212,https://media.acsearch.info/archive/354/11890/12260419.m.jpg,"Boier Obol Stradonice/Karlstein C, 0.34g, K-G 149.2, Pesek 1/419",boier_early_stradonice,True,
coinarchives,manual_213,https://media.acsearch.info/archive/65/11304/11662243.m.jpg,"Boier Obol Stradonice Typ, 0.49g, Kostur-Gášpár 148 var, Macho E-Live 31/1002",boier_early_stradonice,True,
coinarchives,manual_214,https://media.acsearch.info/archive/65/11304/11662244.m.jpg,"Boier Obol Stradonice Typ, 0.50g, Referenzstück, Macho E-Live 31/1003",boier_early_stradonice,True,
coinarchives,manual_215,https://media.acsearch.info/archive/65/11304/11662245.m.jpg,"Boier Obol Stradonice Typ, 0.36g, EF Erhaltung (!), Macho E-Live 31/1004",boier_early_stradonice,True,
coinarchives,manual_216,https://media.acsearch.info/archive/65/11304/11662246.m.jpg,"Boier Obol Stradonice Typ, 0.43g, EF zachovalost, Macho E-Live 31/1005",boier_early_stradonice,True,
coinarchives,manual_217,https://media.acsearch.info/archive/65/11304/11662247.m.jpg,"Boier Obol Stradonice Typ, 0.42g, leicht ausgebrochen, Macho E-Live 31/1006",boier_early_stradonice,True,
coinarchives,manual_218,https://media.acsearch.info/archive/133/10925/11256751.m.jpg,"Boier Obol Stradonice Typ, 0.43g, K-G 148.9-10, XF, Katz E-Auction 90/1302",boier_early_stradonice,True,
coinarchives,manual_219,https://media.acsearch.info/archive/65/10514/10824654.m.jpg,"Boier Obol Stradonice Typ, 0.30g, olámaný (gebrochen), Macho E-Live 30/1006",boier_early_stradonice,True,
coinarchives,manual_220,https://media.acsearch.info/archive/65/10514/10824655.m.jpg,"Boier Obol Stradonice Typ, 0.35g, klein (6-7mm), Macho E-Live 30/1007",boier_early_stradonice,True,
search_angela,manual_361,https://www.numismatik-cafe.at/download/file.php?id=3968&mode=view,file.php (700×346),boier_late_Karlstein,True,
search_angela,manual_362,,file.php (800×397),boier_late_Karlstein,True,
search_angela,manual_363,https://www.ma-shops.de/zufahl/item.php?id=13738,ca. 2./1. Jhdt. v. Chr. Kelten Boier Obol Kleinsilber Kugel Pferdchen Karlstein Roseldorf Dembski 771 ff Sehr schön / vorzüglich | MA-Shops,boier_late_Karlstein,True,
search_angela,manual_364,https://i.ebayimg.com/images/g/TcYAAOSwNRBnjemB/s-l960.jpg,Kelten Boier Obol Kleinsilber Kugel Pferdchen Karlstein Roseldorf Dembski 771 ff | eBay.de,boier_late_Karlstein,True,
occ,4776,,Karlstein,boier_late_Karlstein,False,
occ,5064,,Karlstein,boier_late_Karlstein,False,
occ,5066,,Karlstein,boier_late_Karlstein,False,
occ,5072,,Karlstein,boier_late_Karlstein,False,
occ,5073,,Karlstein,boier_late_Karlstein,False,
occ,5074,,Karlstein,boier_late_Karlstein,False,
occ,5077,,Karlstein,boier_late_Karlstein,False,
occ,5078,,Karlstein,boier_late_Karlstein,False,
occ,5079,,Karlstein,boier_late_Karlstein,False,
occ,5080,,Karlstein,boier_late_Karlstein,False,
occ,5081,,Karlstein,boier_late_Karlstein,False,
occ,5082,,Karlstein,boier_late_Karlstein,False,
occ,5083,,Karlstein,boier_late_Karlstein,False,
occ,5084,,Karlstein,boier_late_Karlstein,False,
occ,5085,,Karlstein,boier_late_Karlstein,False,
occ,5088,,Karlstein,boier_late_Karlstein,False,
occ,5089,,Karlstein,boier_late_Karlstein,False,
occ,5090,,Karlstein,boier_late_Karlstein,False,
occ,5091,,Karlstein,boier_late_Karlstein,False,
occ,5092,,Karlstein,boier_late_Karlstein,False,
occ,5093,,Karlstein,boier_late_Karlstein,False,
occ,5094,,Karlstein,boier_late_Karlstein,False,
occ,5095,,Karlstein,boier_late_Karlstein,False,
occ,5096,,Karlstein,boier_late_Karlstein,False,
occ,5097,,Karlstein,boier_late_Karlstein,False,
occ,5098,,Karlstein,boier_late_Karlstein,False,
occ,5100,,Karlstein,boier_late_Karlstein,False,
occ,5101,,Karlstein,boier_late_Karlstein,False,
occ,5103,,Karlstein,boier_late_Karlstein,False,
occ,5104,,Karlstein,boier_late_Karlstein,False,
occ,5105,,Karlstein,boier_late_Karlstein,False,
occ,5106,,Karlstein,boier_late_Karlstein,False,
occ,5107,,Karlstein,boier_late_Karlstein,False,
occ,5108,,Karlstein,boier_late_Karlstein,False,
occ,5109,,Karlstein,boier_late_Karlstein,False,
occ,5110,,Karlstein,boier_late_Karlstein,False,
occ,5322,,Karlstein,boier_late_Karlstein,False,
occ,5482,,Karlstein,boier_late_Karlstein,False,
occ,5566,,Karlstein,boier_late_Karlstein,False,
occ,5567,,Karlstein,boier_late_Karlstein,False,
occ,5568,,Karlstein,boier_late_Karlstein,False,
occ,5569,,Karlstein,boier_late_Karlstein,False,
occ,5570,,Karlstein,boier_late_Karlstein,False,
occ,5597,,Karlstein,boier_late_Karlstein,False,
occ,5598,,Karlstein,boier_late_Karlstein,False,
occ,5612,,Karlstein,boier_late_Karlstein,False,
occ,5613,,Karlstein,boier_late_Karlstein,False,
occ,5617,,Karlstein,boier_late_Karlstein,False,
occ,5621,,Karlstein,boier_late_Karlstein,False,
occ,5622,,Karlstein,boier_late_Karlstein,False,
occ,5623,,Karlstein,boier_late_Karlstein,False,
occ,5625,,Karlstein,boier_late_Karlstein,False,
occ,5626,,Karlstein,boier_late_Karlstein,False,
occ,5627,,Karlstein,boier_late_Karlstein,False,
occ,5628,,Karlstein,boier_late_Karlstein,False,
occ,5656,,Karlstein,boier_late_Karlstein,False,
occ,5657,,Karlstein,boier_late_Karlstein,False,
occ,5660,,Karlstein,boier_late_Karlstein,False,
occ,5661,,Karlstein,boier_late_Karlstein,False,
occ,5662,,Karlstein,boier_late_Karlstein,False,
occ,5664,,Karlstein,boier_late_Karlstein,False,
occ,5665,,Karlstein,boier_late_Karlstein,False,
occ,5611,,Boisches Kleinsilber,boier_late_karlstein,False,
numismatik_cafe,NumCafe-15,NumCafe-15.jpg,Karlstein,boier_late_Karlstein,False,
numismatik_cafe,NumCafe-16,NumCafe-16.jpg,Karlstein,boier_late_Karlstein,False,
ma_shops,manual_095,https://img.ma-shops.com/zufahl/pic/13738_02001a00-horz.jpg,"AR Obol Typ Karlstein ""Kugelpferd"" 0.35g (Dembski 771 ff.)",boier_late_Karlstein,True,
ma_shops,manual_150,https://img.ma-shops.de/zufahl/pic/13738_02001a00-horz.jpg,"Obol Karlsteiner Art (Kugelpferd), 0.35g, Dembski 771-775, vzg/ss",boier_late_Karlstein,True,
coinarchives,manual_011,https://media.coinarchives.com/59ace80415331fc4495c923fa6d36d7c/img/aurea/e59/image04280.jpg,"Střední Evropa, Bojové, 2. - 1. stol. př. Kr.
AR Obol, typ Čachtice (Karlstein), Hladký hrbol / Kůň zleva, nad ním kulička a paprsky, pod ním kulička (0,32 g), velmi pčkná zachovalost_R!
1/1",boier_late_Karlstein,True,
coinarchives,manual_012,https://media.coinarchives.com/944e2c9ebf98b35dcbf056b52d84de77/img/aurea/e59/image04281.jpg,AR Obol Boier Karlstein Čachtice (Lot 4281),boier_late_Karlstein,True,
coinarchives,824570,https://media.coinarchives.com/2dcbc1bf333d59271e871018d442c9ff/img/nomos/obolos1/image00097.jpg,"CENTRAL EUROPE, Boii. 1st century BC. 1/4 Quinarius (Silver, 9mm, 0.34 g), Karlstein type. Irregular bulge. Rev. Horse prancing left. Dembski 945ff. Lanz 299f. Nicely toned. Reverse slightly off center, otherwise, very fine. From the Berlin Collection. Starting Price: CHF 60...",boier_late_Karlstein,True,
coinarchives,1007929,https://media.coinarchives.com/a8a650b0fdc8e098cbe82838f142e5a0/img/leu_winterthur/e1/image00063.jpg,"CELTIC, Central Europe. Boii. 1st century BC. 1/4 Quinar (Silver, 8 mm, 0.41 g), Stradonice/Karlstein Type. Male head to left. Rev. Horse left. Paulsen 565-573. Struck slightly off center and wIth some die breaks, otherwise, good very fine. Estimate: 50 CHF...",boier_late_Karlstein,True,
coinarchives,1734284,https://media.coinarchives.com/dfa7919f137416871c73e2a25ee1e5d8/img/macho/024/image01003.jpg,"Bohemia, Celts Obol (2nd/1st century BC). Karlstein type Traces of corrosion. Broken off.. BÃ¶hmen, Kelten Obol (2./1. Jh. v. Chr.). Typ Karlstein Korrosionsspuren. Abgespaltet.. ÄŒechy, Kelti Obol (2./1. stol. pÅ™. Kr.). Typ Karlstein Stopy koroze. OlÃ¡manÃ½.. 0,40 g, 9-10 mm, Ag, Kostur â€“ GÃ¡Å¡pÃ¡r 149 var., about EF / EF Starting Price: 5 EUR...",boier_late_Karlstein,True,
coinarchives,1734288,https://media.coinarchives.com/73ade64a8f3c685d7ba427806036738a/img/macho/024/image01007.jpg,"Moravia, Celts Obol (2nd/1st century BC). Karlstein type MÃ¤hren, Kelten Obol (2./1. Jh. v. Chr.). Typ Karlstein Morava, Kelti Obol (2./1. stol. pÅ™. Kr.). Typ Karlstein 0,3 g, 7 mm, Ag, Kostur â€“ GÃ¡Å¡pÃ¡r â€“, VF / VF Starting Price: 10 EUR...",boier_late_Karlstein,True,
coinarchives,1848410,https://media.coinarchives.com/edde65b20db866626abbfd63d3f171e7/img/macho/025/image03008.jpg,"Macho & Chlapovič - Auction 25, Lot 3008",boier_late_Karlstein,True,
coinarchives,1848411,https://media.coinarchives.com/22d9b210317c60314f05f57787583cf0/img/macho/025/image03009.jpg,"Macho & Chlapovič - Auction 25, Lot 3009",boier_late_Karlstein,True,
coinarchives,2091424,https://media.coinarchives.com/23774a82cc7afcbdccd2f094eff78127/img/macho/029/image01001.jpg,"Macho & Chlapovič - Auction 29, Lot 1001",boier_late_Karlstein,True,
coinarchives,2192381,https://media.coinarchives.com/1e9f954347b70d2d9e8b46078ce71598/img/macho/030/image01081.jpg,"Macho & Chlapovič - Auction 30, Lot 1081",boier_late_Karlstein,True,
coinarchives,2192382,https://media.coinarchives.com/d6c47058d8685b3eec7a8bdb0cebfb00/img/macho/030/image01082.jpg,"Macho & Chlapovič - Auction 30, Lot 1082",boier_late_Karlstein,True,
coinarchives,2192383,https://media.coinarchives.com/5cde886997086f94982944a60224a42e/img/macho/030/image01083.jpg,"Macho & Chlapovič - Auction 30, Lot 1083",boier_late_Karlstein,True,
coinarchives,2277045,https://media.coinarchives.com/5553a243989e24b1e557578da39c179f/img/macho/031/image01040.jpg,"Macho & Chlapovič - Auction 31, Lot 1040",boier_late_Karlstein,True,
coinarchives,2277046,https://media.coinarchives.com/561a6f721eeabf3c9e73869d39c80616/img/macho/031/image01041.jpg,"Macho & Chlapovič - Auction 31, Lot 1041",boier_late_Karlstein,True,
coinarchives,2277047,https://media.coinarchives.com/d0337734561be2d02fa63d76cfde7317/img/macho/031/image01042.jpg,"Macho & Chlapovič - Auction 31, Lot 1042",boier_late_Karlstein,True,
coinarchives,2277048,https://media.coinarchives.com/867200a00bd9813008c57292e2a47cb6/img/macho/031/image01043.jpg,"Macho & Chlapovič - Auction 31, Lot 1043",boier_late_Karlstein,True,
coinarchives,2277052,https://media.coinarchives.com/c60ab640ef5211c293823de8ec147019/img/macho/031/image01047.jpg,"Macho & Chlapovič - Auction 31, Lot 1047",boier_late_Karlstein,True,
coinarchives,2363006,https://media.coinarchives.com/d34977de14a0bce67c2d20fbd58baf3c/img/macho/033/image00492.jpg,"Macho & Chlapovič - Auction 33 eLive, Lot 492",boier_late_Karlstein,True,
coinarchives,2444079,https://media.coinarchives.com/d52494b52113b44f1469e28fcd5443fb/img/macho/034/image01066.jpg,"Macho & Chlapovič - Auction 34, Lot 1066",boier_late_Karlstein,True,
coinarchives,2444080,https://media.coinarchives.com/30c7383420edaadf9f6706e91d68da30/img/macho/034/image01067.jpg,"Macho & Chlapovič - Auction 34, Lot 1067",boier_late_Karlstein,True,
coinarchives,2444082,https://media.coinarchives.com/75fdbd81ed8bca9fbd9608294fa247d5/img/macho/034/image01069.jpg,"Macho & Chlapovič - Auction 34, Lot 1069",boier_late_Karlstein,True,
coinarchives,2444084,https://media.coinarchives.com/5b84d80b6e3762b3f66d888efc6c7a4e/img/macho/034/image01071.jpg,"Macho & Chlapovič - Auction 34, Lot 1071",boier_late_Karlstein,True,
bidinside,manual_068,https://bidkit.ams3.digitaloceanspaces.com/112/imgBig/1/00044q00.jpg,AR Kleinsilber Typ Karlstein (Boier) 0.45g (Kos 182a Lotto 44),boier_late_Karlstein,True,
acsearch,manual_270,https://media.acsearch.info/archive/65/14887/15292632.m.jpg,"Obol typ Karlstein (Bratislava), 0.34g, gEF/oUNC, mírnč naprasklý, Kostur – Gášpár 167 var., Macho 37/1167",boier_late_Karlstein,True,
acsearch,manual_271,https://media.acsearch.info/archive/65/14887/15292636.m.jpg,"Obol typ Karlstein (JZ Slovensko), 0.39g, 7-9mm, EF/gEF, stopy koroze, Kostur – Gášpár 167 var., Macho 37/1171",boier_late_Karlstein,True,
acsearch,manual_276,https://media.acsearch.info/archive/65/14011/14455504.m.jpg,"Obol typ Karlstein / Trenčianske Bohuslavice, 0.36g, EF/gEF, publikováno Ručka 555 (tento kus), Macho 36/2106",boier_late_Karlstein,True,
acsearch,manual_280,https://media.acsearch.info/archive/65/13074/13516678.m.jpg,"Obol Typ Karlstein, 0.43g, 9mm, fast vorzüglich (aEF), Buckel/Pferd nach rechts, Macho 34/1066",boier_late_Karlstein,True,
acsearch,manual_281,https://media.acsearch.info/archive/65/13074/13516679.m.jpg,"Obol Typ Karlstein, 0.43g, 9mm, fast vorzüglich (aEF), leichte Korrosionsspuren, Buckel/Pferd nach rechts, Macho 34/1067",boier_late_Karlstein,True,
acsearch,manual_282,https://media.acsearch.info/archive/65/13074/13516681.m.jpg,"Obol Typ Karlstein, 0.40g, 9mm, gVF/gVF, Schrötlingsriss & Korrosionsspuren, Macho 34/1069",boier_late_Karlstein,True,
acsearch,manual_283,https://media.acsearch.info/archive/65/13074/13516683.m.jpg,"Obol typ Karlstein, 0.32g (lehký), 9mm, EF/gEF, výjimečná zachovalost, Macho 34/1071",boier_late_Karlstein,True,
acsearch,manual_284,https://media.acsearch.info/archive/65/13074/13516684.m.jpg,"Obol Typ Karlstein, 0.40g, 9mm, EF/gEF, perfekt zentriert, Macho 34/1072",boier_late_Karlstein,True,
acsearch,manual_286,https://media.acsearch.info/archive/65/12232/12628847.m.jpg,"Obol Typ Karlstein (Bratislava), 0.36g, EF/aUNC, Plate Coin Kostur-Gášpár 167.2, Macho 33/492",boier_late_Karlstein,True,
acsearch,manual_288,https://media.acsearch.info/archive/65/11304/11662281.m.jpg,"Obol Typ Karlstein, 0.43g, EF/EF, olámaný (ausgebrochen), Korrosionsspuren, Macho 31/1040",boier_late_Karlstein,True,
acsearch,manual_289,https://media.acsearch.info/archive/65/11304/11662282.m.jpg,"Obol Typ Karlstein, 0.38g, 9-10.5mm, EF/gEF, Plate Coin Kostur-Gášpár 167.1, Macho 31/1041",boier_late_Karlstein,True,
acsearch,manual_290,https://media.acsearch.info/archive/65/11304/11662283.m.jpg,"Obol Typ Karlstein, 0.40g, 8.6-9.8mm, fast sehr schön (aVF), ehrliches Belegstück, Macho 31/1042",boier_late_Karlstein,True,
acsearch,manual_291,https://media.acsearch.info/archive/65/11304/11662284.m.jpg,"Obol typ Karlstein, 0.43g, 8.4-10.3mm, VF/gVF, mírnč oválný střížek, Macho 31/1043",boier_late_Karlstein,True,
acsearch,manual_293,https://media.acsearch.info/archive/65/11304/11662288.m.jpg,"Obol Typ Karlstein (Bratislava), 0.35g, EF/gEF, Kostur – Gášpár 167 var., Macho 31/1047",boier_late_Karlstein,True,
acsearch,manual_294,https://media.acsearch.info/archive/41/11101/11441150.m.jpg,"Norikum Obol Typ Karlstein, 0.72g (schwerster), vz, Buckel/Pferd, Göbl Tf 46/5, Ex Künker 295/42, Fruehwald E160/1578",boier_late_Karlstein,True,
acsearch,manual_295,https://media.acsearch.info/archive/65/10514/10824727.m.jpg,"Obol Typ Karlstein, 0.40g, 8-9mm, aEF/gEF, ausgebrochener Rand (olámaný), Macho 30/1079",boier_late_Karlstein,True,
acsearch,manual_296,https://media.acsearch.info/archive/65/10514/10824729.m.jpg,"Obol typ Karlstein, 0.40g, 7-8mm (malý střížek), aEF/aEF, Macho 30/1081",boier_late_Karlstein,True,
acsearch,manual_297,https://media.acsearch.info/archive/65/10514/10824730.m.jpg,"Obol Typ Karlstein, 0.40g, 8mm, EF/EF, minimal ausgebrochen, Macho 30/1082",boier_late_Karlstein,True,
acsearch,manual_298,https://media.acsearch.info/archive/65/10514/10824731.m.jpg,"Obol Typ Karlstein, 0.30g (sehr leicht), 7mm, aEF/EF, ausgebrochen (olámaný), Macho 30/1083",boier_late_Karlstein,True,
acsearch,manual_299,https://media.acsearch.info/archive/65/9752/10039639.m.jpg,"Obol typ Karlstein, 0.45g (vyšší váha), 7-8mm, EF/EF, kompaktní tlustý střížek, Macho 29/1001",boier_late_Karlstein,True,
acsearch,manual_300,https://media.acsearch.info/archive/65/7891/8108988.m.jpg#,"Obol typ Karlstein, 0.50g, 8.5-9.5mm, VF/aEF, pčkná patina, nepatrnč vylomený, Macho 25/3008",boier_late_Karlstein,True,
acsearch,manual_301,https://media.acsearch.info/archive/65/7891/8108989.m.jpg,"Obol typ Karlstein (Bratislava), 0.40g, abt VF/VF, vzácný (Rare!), nepatrnč olámaný, Kostur – Gášpár 167 var., Macho 25/3009",boier_late_Karlstein,True,
acsearch,manual_302,https://media.acsearch.info/archive/65/7300/7512376.m.jpg,"Böhmischer Obol Typ Karlstein, 0.40g, 9-10mm, abt EF/EF, Korrosionsspuren, olámaný, Kostur-Gášpár 149 var., Macho 24/1003",boier_late_Karlstein,True,
acsearch,manual_303,https://media.acsearch.info/archive/65/7300/7512380.m.jpg,"Mährischer Obol Typ Karlstein, 0.30g, 7mm, VF/VF, seltene Variante (nicht in KG), Macho 24/1007",boier_late_Karlstein,True,
wcn,manual_091,https://foto.wcn.pl/sklep/full/404366.jpg,AR Viertelquinar Typ Roseldorf I 0.70g (Lanz 92-93 WCN 404366),boier_roseldorf_1,True,
wcn,manual_092,https://foto.wcn.pl/sklep/full/191902.jpg,AR Viertelquinar Typ Roseldorf I 0.62g (Lanz 91 WCN 191902),boier_roseldorf_1,True,
Numista,manual_043,https://en.numista.com/catalogue/photos/bohemia_region_boii/10-original.jpg,AR Obol Roseldorf I Kostial 91 (Numista 145188 Roma),boier_roseldorf_1,True,
numisbids,manual_196,https://media.numisbids.com/sales/hosted/hirsch/298/image00010.jpg,"Boier Obol Roseldorf I, 0.93g, Pferd rechts, Schleife mit Innenpunkt, Hirsch 298/10",boier_roseldorf_1,True,
mashops,manual_197,https://img.ma-shops.de/saenn/pic/35336_05034a00_c.jpg,"Boier Obol Roseldorf I, 0.90g, Buckel, Pferd rechts, vgl Lanz 91, Sänn",boier_roseldorf_1,True,
ma_shops,manual_044,https://img.ma-shops.de/saenn/pic/35335_05033a00_c.jpg,AR Obol Roseldorf I 0.90g (vgl Lanz 91),boier_roseldorf_1,True,
ma_shops,manual_057,https://img.ma-shops.de/saenn/pic/36419_00496r00_c.jpg,AR Obol Boier Roseldorf 0.80g (Ma-Shops Sänn),boier_roseldorf_1,True,
ma_shops,manual_094,https://img.ma-shops.com/saenn/pic/36709_00588a00_c.jpg,AR Viertelquinar Typ Roseldorf I 0.80g (Lanz 93),boier_roseldorf_1,True,
ma_shops,manual_122,https://img.ma-shops.de/kalchhauser/pic/809_dsc06061_c.jpg,"Boier Obol Roseldorf Typ I, 0.86g, stilisierter Reiter, Torques",boier_roseldorf_1,True,
